avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
10.1,,64540.0,2449,.,,37.2,85.1,60.0,21.3146,19.4259,34.3749,,1366.0,871.0,281.0,254.0,,,57.5,4.2,.,30.274,28.476,51.138,,
10.5,,63959.0,2440,.,,36.6,84.4,59.3,21.413,19.6,34.5961,,1395.0,810.0,310.0,232.0,,,56.9,4.1,.,,,,,
9.8,,64121.0,2484,.,,36.9,84.6,59.6,21.4475,19.7663,34.5474,,1484.0,925.0,338.0,221.0,,,57.0,4.4,.,,,,,
11.1,,64046.0,2641,.,,37.0,84.4,59.5,21.4859,19.9091,34.4197,,1399.0,1000.0,357.0,293.0,,,56.8,4.5,.,27.922,26.315,46.878,,
10.4,,63669.0,2643,.,,36.9,84.4,59.5,21.5226,20.0105,34.3325,,1598.0,1113.0,397.0,277.0,,,56.4,5.1,.,,,,,
10.4,,63922.0,2712,.,,37.1,84.5,59.6,21.5397,19.8127,33.8853,,1585.0,1190.0,471.0,260.0,,,56.6,5.2,.,,,,,
10.5,,63220.0,3291,.,,36.8,84.1,59.3,22.4231,19.9094,34.6988,,1701.0,1278.0,581.0,298.0,,,55.9,5.8,.,24.236,23.138,40.564,,
11.0,,62898.0,3437,.,,37.0,84.0,59.3,22.7674,20.0095,34.8623,,1883.0,1429.0,657.0,348.0,,,55.5,6.4,.,,,,,
11.2,,62731.0,3972,.,,37.0,84.0,59.3,22.8259,19.894,34.7528,,1933.0,1483.0,776.0,352.0,,,55.3,6.7,.,,,,,
12.1,,62631.0,3743,.,,37.3,84.3,59.6,22.8991,19.8511,34.5718,,1881.0,1588.0,876.0,511.0,,,55.2,7.4,.,24.6,23.932,41.276,,
13.1,,62874.0,3602,.,,37.4,84.6,59.8,23.0368,19.8691,34.4375,,1855.0,1590.0,922.0,571.0,,,55.4,7.4,.,,,,,
14.4,,62730.0,3340,.,,37.1,84.3,59.5,23.1186,19.788,34.2718,,1755.0,1536.0,970.0,707.0,,,55.2,7.3,.,,,,,
14.6,,62745.0,2955,.,,37.0,84.6,59.6,23.3003,19.9426,34.1831,,1818.0,1433.0,958.0,838.0,,,55.2,7.5,.,27.064,25.851,45.972,,
15.7,,63012.0,3178,.,,37.3,84.6,59.8,23.5152,20.1531,34.3612,,1760.0,1407.0,926.0,962.0,,,55.4,7.4,.,,,,,
16.5,,63181.0,3166,.,,37.0,84.7,59.7,23.6594,20.1046,34.5237,,1626.0,1488.0,778.0,1017.0,,,55.4,7.1,.,,,,,
16.5,,63475.0,2969,.,,37.0,84.6,59.6,23.9721,20.1174,34.7518,,1643.0,1239.0,778.0,930.0,,,55.6,6.7,.,30.458,28.745,52.306,,
16.4,,63470.0,2805,.,,36.8,84.0,59.2,24.2854,20.2342,34.9156,,1531.0,1130.0,745.0,825.0,,,55.5,6.2,.,,,,,
15.7,,63549.0,2825,.,,36.9,83.8,59.2,24.5366,20.433,34.9489,,1692.0,1135.0,663.0,827.0,,,55.5,6.2,.,,,,,
16.3,,63868.0,2749,.,3.4,37.1,83.8,59.3,24.9242,20.7282,35.213,478.8,1574.0,1169.0,594.0,802.0,306.1,11.3,55.7,6.0,.,32.706,31.469,55.502,,3.662
15.5,,63684.0,2515,.,3.1,36.8,83.5,59.0,25.227,20.9603,35.2201,480.7,1554.0,1164.0,545.0,732.0,309.6,10.6,55.5,5.9,.,,,,,
15.3,,64267.0,2846,.,2.9,37.1,83.8,59.3,25.4218,21.209,35.1304,482.2,1459.0,1093.0,530.0,680.0,312.7,10.3,56.0,5.6,.,,,,,
14.9,,64768.0,2592,.,2.8,37.3,83.9,59.4,25.7261,21.4893,35.5581,482.1,1494.0,934.0,408.0,631.0,312.2,11.2,56.3,5.2,.,35.446,34.115,60.398,,3.719
14.7,,64699.0,2353,.,2.6,37.1,83.6,59.2,26.0187,21.7188,36.3064,484.5,1479.0,1005.0,390.0,575.0,316.1,10.6,56.2,5.1,.,,,,,
